CCF-FILE-IB,SAG-EBA-CCF-IN|
CCF-FILE-OB,BACKOFFICE-EBA-CCF-IN|
CVF-FILE-IB,SAG-EBA-CVF-IN|
CVF-FILE-OB,BACKOFFICE-EBA-CVF-IN|
DB-FILE,|SAG-FILEACT-OUT
DB-MQ-BO,|BACKOFF-MSG-OUT
DB-MQ-BO2,|BACKOFFICE2-OUT
DB-MQ-BO3,|BACKOFFICE3-OUT
DB-MQ-NAN,|BACKOFF-MSG-NAK
DB-MQ-PAN,|BACKOFF-MSG-ACK
DB-MQ-SAA,|SAA-MSG-OUT
EPC-FILE-IB,SAG-EPC-IN|
ICF-FILE-IB,SAG-EBA-ICF-IN|
ICF-FILE-OB,BACKOFFICE-EBA-ICF-IN|
MQ-BO1-DB,BACKOFF-MSG-IN|
MQ-EPC-DB,BACKOFFICE-EPC-IN|
MQ-SAA-DB,SAA-MSG-IN|
OB-EBA-CVF-FILE-OUT,|SAG-EBA-CVF-OUT
OB-EBA-ICF-FILE-OUT,|SAG-EBA-ICF-OUT
OB-EPC-FILE-OUT,|SAG-EPC-OUT
SCF-FILE-IB,SAG-EBA-SCF-IN|
SCF-FILE-OB,BACKOFFICE-EBA-SCF-IN|
SEPA-FILE-IB,FILEACT-IN|
SEPA-FILE-OB,BACKOFFICE-IN|
