ABE,ABE
ACH,ACH
ACS,ACS
AIP,AIP
ART,ART
AVP,AVP
AZM,AZM
BAP,BAP
BCC,BCC
BCE,BCE
BDS,BDS
BEL,BEL
BGN,BGN
BHS,BHS
BIS,BIS
BOF,BOF
BOJ,BOJ
BRL,BRL
BSP,BSP
CAM,CAM
CBA,CBA
CBC,CBC
CBJ,CBJ
CCE,CCE
CHI ,CHI 
CHP,CHP
CIP,CIP
CIS,CIS
COE,COE
COI,COI
COU,COU
DDK,DDK
DKC,DKC
EBA,EBA
ELS,ELS
EMZ,EMZ
EPM,EPM
EPN ,EPN 
ERP,ERP
FDA ,FDA 
FDN,FDN
FDW ,FDW 
FEY,FEY
GIS,GIS
HRK,HRK
HRM,HRM
HUF,HUF
INC ,INC 
JOD,JOD
KPS,KPS
LGS,LGS
LKB,LKB
LVL,LVL
LVT,LVT
LYX,LYX
MEP,MEP
MOS,MOS
MQQ,MQQ
MRS,MRS
MUP,MUP
NAM,NAM
NOC,NOC
NOR,NOR
NPP,NPP
PCH,PCH
PDS,PDS
PEG,PEG
PNS,PNS
PTR,PTR
PVE,PVE
ROL,ROL
ROS,ROS
RTG,RTG
RTP,RTP
RTR,RTR
SCP,SCP
SEC,SEC
SIT,SIT
SLB,SLB
SPG,SPG
SSK,SSK
ST2,ST2
STG,STG
TBF,TBF
TCH,TCH
TGT,TGT
THB,THB
THN,THN
TIS,TIS
TOP,TOP
TTD,TTD
UBE,UBE
UIS,UIS
VCS,VCS
XCT,XCT
ZEN,ZEN
ZET,ZET
ZIS,ZIS
