AC01,AC01
AC03,AC03
AC04,AC04
AC06,AC06
AC13,AC13
AC14,AC14
AC15,AC15
AC16,AC16
AC17,AC17
AG01,AG01
AG02,AG02
AM01,AM01
AM02,AM02
AM03,AM03
AM04,AM04
AM05,AM05
AM06,AM06
AM07,AM07
AM09,AM09
AM10,AM10
ARDT,ARDT
BE01,BE01
BE04,BE04
BE05,BE05
BE06,BE06
BE07,BE07
BE08,BE08
CN01,CN01
CNOR,CNOR
CURR,CURR
CUST,CUST
DNOR,DNOR
DUPL,DUPL
DS28,DS28
DT01,DT01
ED01,ED01
ED03,ED03
ED05,ED05
EMVL,EMVL
ERIN,ERIN
FF05,FF05
FOCR,FOCR
FR01,FR01
FRTR,FRTR
MD01,MD01
MD02,MD02
MD06,MD06
MD07,MD07
MS02,MS02
MS03,MS03
NARR,NARR
NOAS ,NOAS 
NOCM,NOCM
NOOR,NOOR
PINL,PINL
RC01,RC01
RC07,RC07
RF01,RF01
RR01,RR01
RR02,RR02
RR03,RR03
RR04,RR04
RUTA,RUTA
SL01,SL01
SL02,SL02
SL11,SL11
SL12,SL12
SL13,SL13
SL14,SL14
SP01,SP01
SP02,SP02
SVNR,SVNR
TM01,TM01
TRAC,TRAC
UPAY,UPAY
