Document,Document|urn:iso:std:iso:20022:tech:xsd:pain.002.001.10
Document/CstmrPmtStsRpt/GrpHdr/MsgId|Date,Document
Document/CstmrPmtStsRpt/GrpHdr/CreDtTm|Date,Document
Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/AnyBIC,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/BICFI
Document/CstmrPmtStsRpt/GrpHdr/InitgPty/Id/OrgId/LEI,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/LEI
Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/BICFI,Document/CstmrCdtTrfInitn/GrpHdr/FwdgAgt/FinInstnId/BICFI
Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Document/CstmrCdtTrfInitn/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/MmbId,Document/CstmrCdtTrfInitn/GrpHdr/FwdgAgt/FinInstnId/ClrSysMmbId/MmbId
Document/CstmrPmtStsRpt/GrpHdr/FwdgAgt/FinInstnId/LEI,Document/CstmrCdtTrfInitn/GrpHdr/FwdgAgt/FinInstnId/LEI
Document/CstmrPmtStsRpt/OrgnlGrpInfAndSts/OrgnlMsgId,Document/CstmrCdtTrfInitn/GrpHdr/MsgId
Document/CstmrPmtStsRpt/OrgnlGrpInfAndSts/OrgnlMsgNmId|XXX,Document
Document/CstmrPmtStsRpt/OrgnlGrpInfAndSts/OrgnlCreDtTm,Document/CstmrCdtTrfInitn/GrpHdr/CreDtTm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/OrgnlPmtInfId,Document/CstmrCdtTrfInitn/PmtInf/PmtInfId
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/OrgnlInstrId,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId/InstrId
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/OrgnlEndToEndId,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId/EndToEndId
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/OrgnlUETR,Document/CstmrCdtTrfInitn/PmtInf/CdtTrfTxInf/PmtId/UETR
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/TxSts|XXX,Document
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/Nm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/Nm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/Dept,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/Dept
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/SubDept,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/SubDept
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/StrtNm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/StrtNm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/BldgNb,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/BldgNb
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/BldgNm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/BldgNm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/Flr,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/Flr
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/PstBx,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/PstBx
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/Room,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/Room
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/PstCd,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/PstCd
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/TwnNm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/TwnNm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/TwnLctnNm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/TwnLctnNm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/DstrctNm,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/DstrctNm
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/CtrySubDvsn,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/CtrySubDvsn
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/Ctry,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/Ctry
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/PstlAdr/AdrLine,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/PstlAdr/AdrLine
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/BICFI
Document/CstmrPmtStsRpt/OrgnlPmtInfAndSts/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/LEI,Document/CstmrCdtTrfInitn/PmtInf/DbtrAgt/FinInstnId/LEI
