Document,Document|urn:iso:std:iso:20022:tech:xsd:camt.029.001.09
Document/RsltnOfInvstgtn/Assgnmt/Id|FEDNOW,Document
Document/RsltnOfInvstgtn/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
Document/RsltnOfInvstgtn/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/MmbId
Document/RsltnOfInvstgtn/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
Document/RsltnOfInvstgtn/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/MmbId
Document/RsltnOfInvstgtn/Assgnmt/CreDtTm|Date,Document
Document/RsltnOfInvstgtn/RslvdCase/Id,Document/FIToFIPmtCxlReq/Case/Id
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Nm,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Nm
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Id/OrgId/AnyBIC,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/AnyBIC
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Id/OrgId/LEI,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/LEI
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Id/OrgId/Othr/Id,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/Id
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Id/OrgId/Othr/SchmeNm/Cd,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/SchmeNm/Cd
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/Id/OrgId/Othr/Issr,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/Issr
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/Nm,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/Nm
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/PhneNb,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/PhneNb
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/MobNb,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/MobNb
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/EmailAdr,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/EmailAdr
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/Dept,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/Dept
Document/RsltnOfInvstgtn/RslvdCase/Cretr/Pty/CtctDtls/PrefrdMtd,Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/PrefrdMtd
Document/RsltnOfInvstgtn/Sts/Conf|,Document
Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/OrgnlGrpInf/OrgnlMsgId,Document/FIToFIPmtCxlReq/Assgnmt/Id
Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/OrgnlGrpInf/OrgnlMsgNmId|camt.056.001.08,Document
Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/OrgnlGrpInf/OrgnlCreDtTm,Document/FIToFIPmtCxlReq/Assgnmt/CreDtTm
Document/RsltnOfInvstgtn/CxlDtls/TxInfAndSts/OrgnlInstrId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlInstrId
