Document,Document|urn:iso:std:iso:20022:tech:xsd:camt.056.001.08
Document/FIToFIPmtCxlReq/Assgnmt/Id|FEDNOW,Document
Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstgAgt/FinInstnId/ClrSysMmbId/MmbId
Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/ClrSysId/Cd,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd
Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/ClrSysMmbId/MmbId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAgt/FinInstnId/ClrSysMmbId/MmbId
Document/FIToFIPmtCxlReq/Assgnmt/CreDtTm|Date,Document
Document/FIToFIPmtCxlReq/Case/Id|,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Nm|,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/AnyBIC|A123FDU3O23,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/LEI|AB123456789876543212,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/Id|testfile,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/SchmeNm/Cd|G001,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/Id/OrgId/Othr/Issr|testfilepac,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/Nm|HARI,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/PhneNb|+91-9998888777,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/MobNb|+91-9998888777,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/EmailAdr|test@test.com,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/Dept|str1234,Document
Document/FIToFIPmtCxlReq/Case/Cretr/Pty/CtctDtls/PrefrdMtd|MAIL,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgNmId|PACS.008.001.10,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlCreDtTm,Document/FIToFICstmrCdtTrf/GrpHdr/CreDtTm
