Document,Document|urn:iso:std:iso:20022:tech:xsd:sct:pacs.002.001.10SCL
Document/FIToFIPmtStsRptSCL/GrpHdr/MsgId|NONREF,Document
Document/FIToFIPmtStsRptSCL/GrpHdr/CreDtTm|Date,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlMsgId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlMsgNmId|pacs.008.001.08,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlNbOfTxs|1,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlCtrlSum|1,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/GrpSts|RJCT,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|SBOSDEMXXXX,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/StsRsnInf/Rsn/Cd|ED05,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsId|Date,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlInstrId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlEndToEndId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/TxSts|RJCT,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|SBOSDEMXXXX,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsRsnInf/Rsn/Cd|ED05,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/IntrBkSttlmAmt,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmAmt
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/IntrBkSttlmDt,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmDt
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/DbtrAgt/FinInstnId/BICFI,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAgt/FinInstnId/BICFI
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/CdtrAgt/FinInstnId/BICFI,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAgt/FinInstnId/BICFI
