Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.004.001.09
Document/PmtRtr/GrpHdr/CreDtTm|Date,Document
Document/PmtRtr/GrpHdr/NbOfTxs|1,Document
Document/PmtRtr/GrpHdr/TtlRtrdIntrBkSttlmAmt,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/IntrBkSttlmAmt
Document/PmtRtr/GrpHdr/IntrBkSttlmDt|Date,Document
Document/PmtRtr/GrpHdr/SttlmInf,Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf
Document/PmtRtr/GrpHdr/InstgAgt,Document/FIToFICstmrDrctDbt/GrpHdr/InstdAgt|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/InstdAgt
Document/PmtRtr/GrpHdr/InstdAgt,Document/FIToFICstmrDrctDbt/GrpHdr/InstgAgt|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/InstgAgt
Document/PmtRtr/TxInf/RtrId|Date,Document
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgId,Document/FIToFICstmrDrctDbt/GrpHdr/MsgId
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgNmId|pacs.003.001.08,Document
Document/PmtRtr/TxInf/OrgnlInstrId,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtId/InstrId
Document/PmtRtr/TxInf/OrgnlEndToEndId,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtId/EndToEndId
Document/PmtRtr/TxInf/OrgnlTxId,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtId/TxId
Document/PmtRtr/TxInf/OrgnlIntrBkSttlmAmt,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/RtrdIntrBkSttlmAmt,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/RtrRsnInf/Orgtr/Id/OrgId/AnyBIC,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/DbtrAgt/FinInstnId/BICFI
Document/PmtRtr/TxInf/RtrRsnInf/Rsn/Cd|MS03,Document
Document/PmtRtr/TxInf/OrgnlTxRef/IntrBkSttlmDt,Document/FIToFICstmrDrctDbt/GrpHdr/IntrBkSttlmDt
Document/PmtRtr/TxInf/OrgnlTxRef/ReqdColltnDt,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/DrctDbtTx/ReqdColltnDt
Document/PmtRtr/TxInf/OrgnlTxRef/CdtrSchmeId,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/DrctDbtTx/CdtrSchmeId
Document/PmtRtr/TxInf/OrgnlTxRef/SttlmInf,Document/FIToFICstmrDrctDbt/GrpHdr/SttlmInf
Document/PmtRtr/TxInf/OrgnlTxRef/PmtTpInf/SvcLvl/Cd,Document/FIToFICstmrDrctDbt/GrpHdr/PmtTpInf/SvcLvl/Cd|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtTpInf/SvcLvl/Cd
Document/PmtRtr/TxInf/OrgnlTxRef/PmtTpInf/LclInstrm/Cd,Document/FIToFICstmrDrctDbt/GrpHdr/PmtTpInf/LclInstrm/Cd|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtTpInf/LclInstrm/Cd
Document/PmtRtr/TxInf/OrgnlTxRef/PmtTpInf/SeqTp,Document/FIToFICstmrDrctDbt/GrpHdr/PmtTpInf/SeqTp|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtTpInf/SeqTp
Document/PmtRtr/TxInf/OrgnlTxRef/PmtTpInf/CtgyPurp/Cd,Document/FIToFICstmrDrctDbt/GrpHdr/PmtTpInf/CtgyPurp/Cd|Document/FIToFICstmrDrctDbt/DrctDbtTxInf/PmtTpInf/CtgyPurp/Cd
Document/PmtRtr/TxInf/OrgnlTxRef/MndtRltdInf,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/DrctDbtTx/MndtRltdInf
Document/PmtRtr/TxInf/OrgnlTxRef/UltmtDbtr/Pty/Nm,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/UltmtDbtr/Nm
Document/PmtRtr/TxInf/OrgnlTxRef/UltmtDbtr/Pty/PstlAdr,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/UltmtDbtr/PstlAdr
Document/PmtRtr/TxInf/OrgnlTxRef/UltmtDbtr/Pty/Id/OrgId/AnyBIC,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/UltmtDbtr/Id/OrgId/AnyBIC
Document/PmtRtr/TxInf/OrgnlTxRef/UltmtDbtr/Pty/Id/OrgId/Othr,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/UltmtDbtr/Id/OrgId/Othr
Document/PmtRtr/TxInf/OrgnlTxRef/UltmtDbtr/Pty/CtryOfRes,Document/FIToFICstmrDrctDbt/DrctDbtTxInf/UltmtDbtr/CtryOfRes
