Document,Document|urn:iso:std:iso:20022:tech:xsd:sct:pacs.002.001.10SCL
Document/FIToFIPmtStsRptSCL/GrpHdr/MsgId|Date,Document
Document/FIToFIPmtStsRptSCL/GrpHdr/CreDtTm|Date,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlMsgNmId|pacs.008.001.08,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlNbOfTxs,Document/FIToFICstmrCdtTrf/GrpHdr/NbOfTxs
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/OrgnlCtrlSum|1,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/GrpSts|RJCT,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|SBOSDEMXXXX,Document
Document/FIToFIPmtStsRptSCL/OrgnlGrpInfAndSts/StsRsnInf/Rsn/Cd|ED05,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsId|Date,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/TxId
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/FIToFIPmtStsRptSCL/TxInfAndSts/TxSts|RJCT,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|SBOSDEMXXXX,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/StsRsnInf/Rsn/Cd|ED05,Document
Document/FIToFIPmtStsRptSCL/TxInfAndSts/AccptncDtTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/AccptncDtTm
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/IntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/IntrBkSttlmDt,Document/FIToFICstmrCdtTrf/GrpHdr/IntrBkSttlmDt
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/DbtrAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI
Document/FIToFIPmtStsRptSCL/TxInfAndSts/OrgnlTxRef/CdtrAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/BICFI
