Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.028.001.03
Document/FIToFIPmtStsReq/GrpHdr/MsgId|NONREF,Document
Document/FIToFIPmtStsReq/GrpHdr/CreDtTm|Date,Document
Document/FIToFIPmtStsReq/GrpHdr/InstgAgt/FinInstnId/BICFI,Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/BICFI|Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Pty/Id/OrgId/AnyBIC
Document/FIToFIPmtStsReq/GrpHdr/InstdAgt/FinInstnId/BICFI,Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/BICFI|Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Pty/Id/OrgId/AnyBIC
Document/FIToFIPmtStsReq/OrgnlGrpInf/OrgnlMsgId,Document/FIToFIPmtCxlReq/Assgnmt/Id
Document/FIToFIPmtStsReq/OrgnlGrpInf/OrgnlMsgNmId|camt.056.001.08,Document
Document/FIToFIPmtStsReq/TxInf/StsReqId|NONREF,Document
Document/FIToFIPmtStsReq/TxInf/OrgnlInstrId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlId
Document/FIToFIPmtStsReq/TxInf/OrgnlEndToEndId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId
Document/FIToFIPmtStsReq/TxInf/OrgnlTxId,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxId
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/IntrBkSttlmAmt,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmAmt
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/SttlmInf,/Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/SttlmInf
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/PmtTpInf,/Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/PmtTpInf
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/RmtInf,/Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/RmtInf
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/UltmtDbtr,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/UltmtDbtr
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/Dbtr,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/Dbtr
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/DbtrAcct,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAcct
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/DbtrAgt,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAgt
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/DbtrAgtAcct,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAgtAcct
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/CdtrAgt,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAgt
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/CdtrAgtAcct,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAgtAcct
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/Cdtr,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/Cdtr
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/CdtrAcct,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAcct
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/UltmtCdtr,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/UltmtCdtr
Document/FIToFIPmtStsReq/TxInf/OrgnlTxRef/Purp,Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/Purp
