Document,Document|urn:iso:std:iso:20022:tech:xsd:camt.056.001.08
Document/FIToFIPmtCxlReq/Assgnmt/Assgnr/Agt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/InstgAgt/FinInstnId/BICFI
Document/FIToFIPmtCxlReq/Assgnmt/Assgne/Agt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/InstdAgt/FinInstnId/BICFI
Document/FIToFIPmtCxlReq/Assgnmt/CreDtTm|Date,Document
Document/FIToFIPmtCxlReq/CtrlData/NbOfTxs,Document/FIToFICstmrCdtTrf/GrpHdr/NbOfTxs
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlId|Date,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlGrpInf/OrgnlMsgNmId|pacs.008.001.08,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/TxId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmDt,Document/FIToFICstmrCdtTrf/GrpHdr/IntrBkSttlmDt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Nm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr/Nm
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/AnyBIC,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/SttlmInf,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/PmtTpInf,Document/FIToFICstmrCdtTrf/GrpHdr/PmtTpInf
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/RmtInf,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/RmtInf
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/UltmtDbtr/Pty,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/UltmtDbtr
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/Dbtr/Pty,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAcct/Id/IBAN
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/DbtrAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/Cdtr/Pty,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Cdtr
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxRef/CdtrAcct/Id/IBAN,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAcct/Id/IBAN
