Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.004.001.09
Document/PmtRtr/GrpHdr/MsgId|NONREF,Document
Document/PmtRtr/GrpHdr/CreDtTm|Date,Document
Document/PmtRtr/GrpHdr/NbOfTxs,Document/FIToFICstmrCdtTrf/GrpHdr/NbOfTxs
Document/PmtRtr/GrpHdr/SttlmInf/SttlmMtd,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/SttlmMtd
Document/PmtRtr/GrpHdr/SttlmInf/ClrSys/Cd,Document/FIToFICstmrCdtTrf/GrpHdr/SttlmInf/ClrSys/Cd
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/PmtRtr/TxInf/OrgnlGrpInf/OrgnlMsgNmId|MsgNm,Document
Document/PmtRtr/TxInf/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/PmtRtr/TxInf/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/PmtRtr/TxInf/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/PmtRtr/TxInf/OrgnlIntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/OrgnlIntrBkSttlmDt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmDt
Document/PmtRtr/TxInf/RtrdIntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/PmtRtr/TxInf/IntrBkSttlmDt|Date,Document
Document/PmtRtr/TxInf/ChrgBr,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/ChrgBr
Document/PmtRtr/TxInf/InstgAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstdAgt
Document/PmtRtr/TxInf/InstdAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/InstgAgt
Document/PmtRtr/TxInf/RtrChain/Dbtr/Pty,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Cdtr
Document/PmtRtr/TxInf/RtrChain/DbtrAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/CdtrAgt
Document/PmtRtr/TxInf/RtrChain/CdtrAgt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt
Document/PmtRtr/TxInf/RtrChain/Cdtr/Pty,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/Dbtr
Document/PmtRtr/TxInf/RtrRsnInf/Rsn/Cd|CUST,Document
